"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"273","SD","SD","2021-08-25","273","100.0","0.175","0.123","0.216","0.298","0.217","0.288","0.221","10","57","90.2","17.0","2305","89.1","89.41","42","147","126","0.3","6.58","120","147","132","143","300","322","297"
"258","WSH","WSH","2021-07-16","258","100.0","0.440","0.400","0.447","0.840","0.559","0.449","0.341","22","50","87.9","8.6","2123","86.1","86.80","13","111","146","0.7","6.58","112","152","123","145","290","315","301"
"233","DET","DET","2021-07-11","233","100.0","0.308","0.256","0.290","0.564","0.433","0.411","0.288","12","39","86.0","13.1","2075","89.4","88.78","16","102","131","-0.6","6.10","109","156","121","149","301","321","297"
"230","HOU","HOU","2021-05-29","230","100.0","0.271","0.188","0.314","0.458","0.344","0.294","0.227","13","48","88.1","7.9","2261","88.8","88.36","24","102","128","-0.4","6.08","112","151","113","148","285","325","295"
"223","DET","DET","2021-06-12","223","100.0","0.325","0.200","0.375","0.525","0.437","0.402","0.305","13","40","90.2","12.3","2071","89.0","88.67","17","89","134","-0.3","6.02","112","153","122","149","298","326","281"
"223","OAK","OAK","2021-04-05","223","100.0","0.341","0.195","0.400","0.537","0.422","0.319","0.214","14","41","91.2","7.2","2270","90.3","90.35","24","95","128","0.1","6.42","111","150","130","160","292","321","306"
"222","LAA","LAA","2021-06-20","222","100.0","0.237","0.079","0.333","0.316","0.308","0.271","0.191","9","38","89.0","14.5","2162","87.6","85.96","32","106","114","-1.6","6.02","112","150","113","145","306","323","300"
"222","SD","SD","2021-04-25","222","100.0","0.233","0.233","0.308","0.465","0.354","0.304","0.184","10","43","89.0","18.9","2416","87.8","87.48","30","93","129","-0.3","6.06","111","148","136","140","297","318","303"
"222","PIT","PIT","2021-08-28","222","100.0","0.400","0.222","0.447","0.622","0.467","0.359","0.275","18","45","88.8","13.4","2090","86.7","87.09","20","111","111","0.4","6.44","111","151","124","146","306","321","287"
"221","MIN","MIN","2021-06-21","221","100.0","0.256","0.140","0.300","0.395","0.321","0.379","0.281","11","43","91.1","13.9","2152","88.7","88.46","27","103","118","-0.2","6.04","102","156","119","148","297","331","293"
"219","TB","TB","2021-09-06","219","100.0","0.333","0.214","0.406","0.548","0.397","0.386","0.313","14","42","84.9","15.9","2329","86.3","86.61","32","105","114","0.3","6.40","105","152","116","146","279","319","310"
"217","CIN","CIN","2021-06-21","217","100.0","0.295","0.159","0.355","0.455","0.350","0.319","0.263","13","44","85.5","6.6","2261","89.3","89.20","29","103","114","-0.1","6.12","110","151","115","145","296","318","278"
"217","BOS","BOS","2021-04-04","217","100.0","0.386","0.136","0.586","0.523","0.436","0.335","0.261","17","44","91.2","10.9","2362","90.7","84.19","30","96","121","-6.5","6.52","107","145","115","145","283","325","306"
"216","SD","SD","2021-04-16","216","100.0","0.250","0.146","0.286","0.396","0.315","0.340","0.256","12","48","90.6","11.9","2309","90.3","89.56","28","104","112","-0.7","6.03","114","151","126","145","300","321","313"
"216","LAD","LAD","2021-08-25","216","100.0","0.077","0.058","0.086","0.135","0.101","0.165","0.143","4","52","79.9","7.2","2367","91.8","91.74","29","108","108","-0.1","6.23","118","151","112","149","294","312","290"
"215","ATL","ATL","2021-05-07","215","100.0","0.381","0.167","0.519","0.548","0.434","0.326","0.260","16","42","83.8","6.2","2500","86.1","86.00","28","104","111","-0.1","6.15","105","148","117","148","305","327","297"
"215","DET","DET","2021-04-05","215","100.0","0.350","0.275","0.480","0.625","0.470","0.418","0.275","14","40","94.8","13.3","2269","89.6","86.40","29","83","132","-3.2","6.28","111","154","124","148","299","334","302"
"215","CIN","CIN","2021-04-22","215","100.0","0.326","0.233","0.364","0.558","0.414","0.376","0.288","14","43","91.4","17.1","2355","89.1","88.81","18","90","125","-0.3","6.19","109","149","110","142","289","314","285"
"214","COL","COL","2021-04-06","214","100.0","0.245","0.170","0.289","0.415","0.308","0.240","0.187","13","53","83.6","6.0","2281","89.6","89.30","25","94","120","-0.3","5.83","109","148","114","146","308","327","306"
"214","CHC","CHC","2021-04-01","214","100.0","0.257","0.143","0.333","0.400","0.385","0.353","0.214","9","35","84.4","-5.4","2223","86.8","86.02","21","87","127","-0.8","6.39","114","150","111","147","274","303","283"
"214","SD","SD","2021-05-28","214","100.0","0.189","0.162","0.214","0.351","0.311","0.332","0.205","7","37","92.1","19.5","2285","86.9","86.35","23","79","135","-0.5","6.14","107","158","115","145","292","335","306"
"213","BAL","BAL","2021-09-12","213","100.0","0.422","0.444","0.438","0.867","0.566","0.483","0.341","19","45","93.1","24.9","2200","88.4","88.51","22","95","118","0.1","6.50","113","156","128","149","297","324","295"
"213","MIL","MIL","2021-08-07","213","100.0","0.283","0.174","0.324","0.457","0.322","0.336","0.280","13","46","87.9","16.8","2267","91.2","91.43","30","113","100","0.2","6.36","110","150","119","147","299","314","299"
"213","ARI","ARI","2021-05-01","213","100.0","0.409","0.227","0.516","0.636","0.460","0.409","0.344","18","44","90.3","11.4","2226","87.0","86.30","22","97","116","-0.7","5.96","107","152","116","149","309","337","310"
"212","CHC","CHC","2021-09-11","212","100.0","0.351","0.243","0.407","0.595","0.457","0.396","0.270","13","37","86.8","15.1","2226","89.4","89.38","15","82","130","0.0","6.23","107","152","118","149","293","328","304"
